reviewed_category	operational_coupling	migration_relevant	pattern	path	line	column	raw_classification	excerpt	reviewed_decision
public_entrypoint_bridge	True	True	run_legacy	software/academic_pipeline_mppg/academic_pipeline/cli.py	7	21	pública	from .legacy import run_legacy	Migrar em AP-007B para coordenador nativo, preservando main(argv) -> int.
public_entrypoint_bridge	True	True	run_legacy	software/academic_pipeline_mppg/academic_pipeline/cli.py	12	12	pública	return run_legacy(argv)	Migrar em AP-007B para coordenador nativo, preservando main(argv) -> int.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	22	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:914-920	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	36	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:922-928	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	50	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:930-937	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	65	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:939-946	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	80	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:948-950	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	91	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:952-967	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	115	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:969-971	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	126	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:973-978	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	140	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:980-990	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	159	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:992-1009	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	184	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:1011-1017	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	199	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:1045-1046	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	209	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:1047-1048	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	219	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:1050-1060	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	238	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:1062-1074	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	259	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:1076-1082	Preservar como proveniência; não representa import ou dispatch legado.
